"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"234","AST","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","They are not as engaged socially. ","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"235","AST","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","People do not see the importance. They may feel it does not matter. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"236","AST","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Lots of foreigners ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"237","AST","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"240","BIOCH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","They’re busy with school so they just don’t take the time to go vote","Lack of time due to course load","Definitely yes","Stem"
"241","BIOCH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","They’re busy","Lack of time due to course load,Lack of discussion on these topics in classes","Probably not","Stem"
"242","BIOCH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not sure.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"243","BIOCH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"244","BIOCH","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","We're more concerned with research and academics. ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"245","BIOCH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","zero free time","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"246","BIOCH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I think there are various reasons but I think most stem majors tend to think analytically and less on feelings or who they would seek out for an election. ","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"247","BIOCH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","STEM majors are typically more busy with schoolwork than peers majoring in the humanities. It's highly likely these students lack the time and energy to make any significant investment in the voting process. ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"248","BIOCH","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They are too busy to be informed (watch news, etc.) and therefore do not feel educated enough on the topic to vote. Or just don't care.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"249","BIOCH","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","Yes","they are busier (diff work hours)","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"250","BIOCH","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They don't view voting as important because the results likely won't affect them and their chosen career path.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"251","BIOCH","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","STEM majors deal in hard sciences which in my brain correlated to lack of interest in the politics of voting. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"252","BIOCH","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"253","BIOCH","Undergraduate, 4th year","Yes","Yes","Yes","No","Somewhat agree","Yes","No","we have less time to research candidates because of our course load and we are often busy during candidate events","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"254","BIOL","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","They do not make an effort to be engaged in civil issues","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"255","BIOL","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"256","BIOL","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","Maybe a lot of STEM majors aren’t eligible because of age or are exchange students ","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"257","BIOL","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","We don’t have time","Lack of time due to course load","Probably yes","Stem"
"258","BIOL","Transferred, undergraduate - equivalent to 1st or 2nd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","Because we feel like it doesn’t really pertain to us or we’re not interested in politics","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"259","BIOL","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Classes may not emphasize the importance of social engagement","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"260","BIOL","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Many of the issues STEM majors care about are not as widely debated as other issues. For the most part science is generally accepted so debating it is dofficult","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"261","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat disagree","No","Yes","No idea","The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"262","BIOL","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Because it is easy to get caught up with schoolwork and other employment, sometimes you can't find the time.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"263","BIOL","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","it’s hard to follow politics when your busy with school","Lack of time due to course load","Might or might not","Stem"
"264","BIOL","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Too busy","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"265","BIOL","Undergraduate, 1st year","No","Was not eligible","Yes","No","Strongly Agree","Yes","No","","Lack of time due to course load","Probably yes","Stem"
"266","BIOL","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They do not put as much value in social/civic relations as students in other majors","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"267","BIOL","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","They probably say they don’t have time to vote ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"268","BIOL","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Politicians shove themselves down your throat with their ads and presence on campus. It pisses everyone off, and leaves all candidates in a bad light. this makes any voter who isn’t passionate about politics irritated and unwilling to go out of their way to support a candidate that pissed them off. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"269","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat agree","No","Yes","Too busy doing homework to go vote","Lack of time due to course load","Probably yes","Stem"
"270","BIOL","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Intelligent people tend not to get involved in matters they believe are out of their hands, and we already know the voting system is flawed.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"271","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not knowing how to register to vote","Lack of time due to course load","Probably yes","Stem"
"272","BIOL","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","high libertarian density ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"273","BIOL","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","More students that are unable to vote ","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"274","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","","Lack of time due to course load","Might or might not","Stem"
"275","BIOL","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Lack of care or interest, no knowledge on candidates","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"276","BIOL","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Voting is probably encouraged more in liberal arts classes as opposed to STEM classes because it’s less relevant to STEM topics of study. ","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"277","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"278","BIOL","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","STEM field won't change much because of how important science is.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"279","BIOL","Undergraduate, 2nd year","No","No","Yes","No","Neither agree nor disagree","No","No","No clue ","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"280","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They probably are not as concerned with the political side of things because they probably do not consider it as important to their interests or for their future jobs (most will probably get well off jobs). Life sciences most likely disagree (for as a BIO and ENSCI major, I am deeply concerned about the well-being of our earth while other STEM majors might not feel the same.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"281","BIOL","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Focusing on classes and not talked about with peers.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"282","BIOL","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Maybe potential stem voters don't think their vote will matter","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"283","BIOL","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Over analyze the candidates so there’s not a good kne","","Probably yes","Stem"
"284","BIOL","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Somewhat agree","No","No","I’m unsure","","Probably yes","Stem"
"285","BIOL","Undergraduate, 5th year or later","Yes","Yes","Yes","Yes","Somewhat agree","Yes","No","STEM majors' course-load is prioritized over researching candidates, registering to vote, commuting to voting place, and standing in line to vote.","Lack of time due to course load","Probably yes","Stem"
"286","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Maybe they're busy with schoolwork and don't have time to vote","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"287","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I have no clue","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"288","BIOL","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","No","No","","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"289","BIOL","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","I think that it has to do with the fact that we are trained to always second guess information and need to know a signifigant amount before forming an opinion. If poeple feel like they are not educated enough then they do not want to make an uninformed decision.","","Probably yes","Stem"
"290","BIOL","Undergraduate, 2nd year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Less exposure to social issues/content (versus liberal arts learning content)","Lack of discussion on these topics in classes","Definitely yes","Stem"
"291","BIOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Busy.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"292","BIOL","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","People don’t believe that their vote matters etc ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"312","C E","Undergraduate, 2nd year","No","No","Yes","No","Somewhat agree","No","No","We have homework to do","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"313","C E","Undergraduate, 3rd year","No","Was not eligible","Yes","No","Strongly Agree","Yes","No","People are busy, lots of people not from iowa (voting is more difficult)","Lack of time due to course load","Might or might not","Stem"
"314","C E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","They aren’t as interested in politics. Politics are mainly drama and most STEM majors like facts and not lies and debates. ","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"315","C E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Other majors probably talk about politics more","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"316","C E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","Yes","they might not think their one vote matters out of the whole population?","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"317","C E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Because they have other things that are more important in their lives, can't say the same about liberal arts majors.","Lack of time due to course load","Might or might not","Stem"
"318","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","No","We are more foused on our classes and don't typically have a lot of free time compared to other majors","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"319","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","People in STEM majors likely aren't very interested in social sciences, including politics.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"320","C E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Lack of interest in politics. Limited accessibility to polling locations. ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"321","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","Busy scheduling combined with a lack of interest in politics. Many have not developed their own political views ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"322","C E","Undergraduate, 5th year or later","No","Yes","Yes","Yes","Strongly Agree","No","No","A lot of STEM majors just focus on school and not on politics so they don’t want to vote if they are misinformed ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"323","C E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Unsure","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"324","C E","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","No","Politicians are stupid, need more candidates like Andrew Yang","","Probably yes","Stem"
"325","C E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Too stressed out to vote, don't deal with things socially/only numbers and calculations, most don't see their vote as making an impact","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"326","C E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","STEM majors seem to have people that are very involved and dedicated to their course work so many don't take the time to go vote or involve themselves in the political field because they don't want to dedicate that time.","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"327","C E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","We have more important work to get done.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"328","C E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"329","C E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","People may not care or see the importance of voting.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"330","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","No","Curriculum doesn’t focus as heavily on political or societal issues","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"331","C E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","They don't care or don't see any impact one way or the other","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"332","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Because they don't/can't find time in their schedules to take the time to vote. They also don't tend to pay close attention to the details of elections and would not be prepared to do so. ","Lack of time due to course load","Probably yes","Stem"
"333","C E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","There are better things to focus on","","Probably not","Stem"
"334","C E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","No","I think you should compare stem majors to the university wide percentage excluding outliers, I would expect poli sci majors to vote at a high rate near 100% and could not give an idea why stem majors are lower than the average unless I had a good understanding of the components of the “university wide” comparison. ","Lack of discussion on these topics in classes","Definitely yes","Stem"
"335","C E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","They don't care about politics","Lack of discussion on these topics in classes","Might or might not","Stem"
"336","C E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Distaste for monotonous political feuding of current political climate","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"337","C E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They are not as educated in their classes about current events and politics, as opposed to other majors (those in LAS for example), that hear about current events more often in their classes. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"338","C E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","We don't have the time to step away on election day, we have to focus on studies.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"339","C E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Don't take the time to get educated on candidates.","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"340","C E","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat agree","No","No","","Lack of discussion on these topics in classes","Might or might not","Stem"
"346","CCE E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","There may not be a interest in voting with STEM majors. Also due to many reasons they may not feel there vote truly matters.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"347","CH E","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","Stem majors don’t give a shit about politics","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"348","CH E","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","No","we're really busy","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"349","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","Nobody cares that much","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"350","CH E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not enough time or just not enough interest. Generally stem majors make a good amount of money so with that comes some privilege and no desire to vote because it won’t effect them. ","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"351","CH E","Undergraduate, 3rd year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","Might not have as much time to invest in looking into candidates, platforms etc. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"352","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Sometimes our egos get the better of us and we might see voting as something “beneath” us","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"353","CH E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"354","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","It’s just not a priority I guess","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"355","CH E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Neither agree nor disagree","No","No","Because as engineers, most political is extremely stupid to us. We deal with problems that have solutions and logical explanations to them. Politics is so full of scheming, lies, and false information it annoys us too much to try and keep up. We’re also extremely busy like god damn.  ","Lack of time due to course load","Definitely yes","Stem"
"356","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"357","CH E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I'm guessing a lot of people don't know how to change their voting address to ISU so they are eligible. And I'm guessing a lot of people are busy and think it is going to take a really long time.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"358","CH E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","They are conent with the present polictcal powers","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely not","Stem"
"359","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","No","No","Apathetic","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"360","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","they are busy?","Lack of time due to course load","Probably yes","Stem"
"361","CH E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","They are less opinionated about certain things and do not like engaging in debates about political topics.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"362","CH E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Lack of interest in politics","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"363","CH E","Undergraduate, 4th year","No","Yes","Yes","No","Somewhat disagree","Yes","No","More time spent on schoolwork means lower amount of time to get informed about candidates ","Lack of time due to course load","Probably not","Stem"
"364","CH E","Undergraduate, 2nd year","No","Was not eligible","No","Yes","Somewhat agree","Yes","No","I think stem majors generally just find less interest in political issues and don’t devote enough time to educating themselves adequately enough to make an educated vote.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"365","CH E","Undergraduate, 5th year or later","No","No","Yes","No","Neither agree nor disagree","No","No","They realize both parties are corrupt and power hungry. The two party system is just trying to pick the lesser of two evils. ","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"366","CH E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","We do not learn about anything political in our classes and also often times tend to have more difficult majors so we are busy and don't find time to educate ourselves on politics. We have enough that we are trying to learn already and our brains can only hold so much","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"367","CH E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","STEM majors tend to have a larger time requirement needed to complete their coursework","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"368","CH E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","More rigorous coursework and less time to vote","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"369","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat disagree","Yes","No","Many STEM majors are uninterested in politics. ","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"370","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Neither agree nor disagree","No","No","They are to focus on school to care.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"371","CH E","Undergraduate, 2nd year","No","Was not eligible","No","No","Strongly Agree","No","No","they care more about the sciences than politics, especially with how PC politics became","","Probably yes","Stem"
"372","CH E","Transferred, undergraduate - equivalent to 1st or 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"373","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","In general, I feel that people do not vote because they either feel that their vote does not matter or that they feel that they don't know connect with the candidates in the field because of a lack of knowledge. Many people today have smartphones, so they feel that the world's information is at their fingertips with just a click, but choose not explore it as it might not seem appetizing to them.","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"374","CH E","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","course load, low impact of one vote","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
